"sample_id","video","label_key","synthetic","sample_index","second","overlay_path","frame_path","model_prediction","model_reason","assistant_draft_label","assistant_confidence","assistant_note","user_label","user_note","front_wall_ratio","front_floor_ratio","depth_front_score","fusion_front_score","mean_luma","dark_ratio","low_visibility","semantic_left_score","semantic_right_score","depth_left_score","depth_right_score","fusion_left_score","fusion_right_score"
"walk_wall_approach_01__t1_5","walk_wall_approach_01.mp4","wall_approach","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t01_5_frame.jpg","turn_right","semantic_wall_or_no_floor","stop","medium","Direct wall approach is unsafe unless a clear side opening is visible.","front_passable","前方可走但等等要往右走才能繼續直行","0.6725","0.2091","0.2096","0.6371","134.3","0.0109","false","0.9648","0.4367","0.5956","0.1894","0.9648","0.4367"
"walk_wall_approach_01__t4_68","walk_wall_approach_01.mp4","wall_approach","false","2","4.68","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t4_68_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t4_68_frame.jpg","turn_right","semantic_wall_or_no_floor","stop","medium","Direct wall approach is unsafe unless a clear side opening is visible.","front_passable","","0.7971","0.0719","0.305","0.8061","132.19","0.0068","false","1.0","0.2272","0.6536","0.1918","1.0","0.2272"
"walk_wall_approach_01__t7_86","walk_wall_approach_01.mp4","wall_approach","false","3","7.86","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t7_86_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t7_86_frame.jpg","turn_right","semantic_wall_or_no_floor","stop","medium","Direct wall approach is unsafe unless a clear side opening is visible.","stop","可能往右轉，因為左邊是牆壁","0.823","0","0.8332","0.8673","134.32","0.0027","false","1.0","0.5031","0.861","0.7928","1.0","0.7928"
"walk_wall_approach_01__t11_04","walk_wall_approach_01.mp4","wall_approach","false","4","11.04","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t11_04_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_wall_approach_01/t11_04_frame.jpg","front_passable","passable","stop","medium","Direct wall approach is unsafe unless a clear side opening is visible.","stop","這張應該標註成全紅這部分是牆壁","0","0","0.1546","0.25","142.86","0","false","0.25","0.25","0.1103","0.2811","0.25","0.2811"
"walk_corridor_forward_01__t1_5","walk_corridor_forward_01.mp4","corridor_forward","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t01_5_frame.jpg","front_passable","passable","front_passable","high","Scenario is corridor forward and model also generally keeps it passable.","front_passable","左邊藍色部分是衣櫃，而右邊紅藍交替的部分是門","0.2841","0.6479","0.1559","0.2422","129.94","0.0071","false","0.3548","0.685","0.5121","0.3727","0.5121","0.685"
"walk_corridor_forward_01__t4_47","walk_corridor_forward_01.mp4","corridor_forward","false","2","4.47","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t4_47_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t4_47_frame.jpg","front_passable","passable","front_passable","high","Scenario is corridor forward and model also generally keeps it passable.","front_passable","","0.2985","0.3174","0.0979","0.2947","127.31","0.029","false","0.6384","0.8981","0.4507","0.3418","0.6384","0.8981"
"walk_corridor_forward_01__t7_44","walk_corridor_forward_01.mp4","corridor_forward","false","3","7.44","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t7_44_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t7_44_frame.jpg","front_passable","passable","front_passable","high","Scenario is corridor forward and model also generally keeps it passable.","stop","視角中下面是櫃子，上面是窗簾，應該要標註成障礙物或者不可通行區域","0.1059","0","0.1343","0.3294","122.68","0.0457","false","0.7302","0.6294","0.3715","0.1471","0.7302","0.6294"
"walk_corridor_forward_01__t10_41","walk_corridor_forward_01.mp4","corridor_forward","false","4","10.41","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t10_41_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_corridor_forward_01/t10_41_frame.jpg","front_passable","passable","front_passable","high","Scenario is corridor forward and model also generally keeps it passable.","stop","這是窗簾，不能走","0","0","0.2379","0.25","131.16","0.0046","false","0.25","0.25","0.3004","0.3072","0.3004","0.3072"
"walk_left_open_right_wall_01__t1_5","walk_left_open_right_wall_01.mp4","left_open_right_wall","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t01_5_frame.jpg","stop","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","front_passable","7點鐘方向那是藍色的床，要標起來，而3點鐘方向則是衣櫃","0.5837","0.1573","0.1622","0.6003","130.51","0.0018","false","0.7152","0.3475","0.0316","0.6775","0.7152","0.6775"
"walk_left_open_right_wall_01__t5_56","walk_left_open_right_wall_01.mp4","left_open_right_wall","false","2","5.56","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t5_56_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t5_56_frame.jpg","turn_right","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","stop","這全部都是牆壁","0.5049","0","0.1073","0.6286","149.49","0","false","0.9916","0.311","0.2046","0.3732","0.9916","0.3732"
"walk_left_open_right_wall_01__t9_62","walk_left_open_right_wall_01.mp4","left_open_right_wall","false","3","9.62","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t9_62_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t9_62_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","front_passable","10點鐘方向應該是可行區域","0.6347","0.1498","0.1995","0.6428","134.21","0.0111","false","0.2896","1.0","0.2152","0.6107","0.2896","1.0"
"walk_left_open_right_wall_01__t13_68","walk_left_open_right_wall_01.mp4","left_open_right_wall","false","4","13.68","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t13_68_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_left_open_right_wall_01/t13_68_frame.jpg","turn_right","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","stop","","0.9924","0","0.2153","0.9943","136.25","0","false","1.0","0.6205","0.3367","0.238","1.0","0.6205"
"walk_door_front_01__t1_5","walk_door_front_01.mp4","door_front","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_01/t01_5_frame.jpg","stop","semantic_wall_or_no_floor","uncertain","low","Doorway can be passable or blocked depending on the actual frame.","front_passable","1點鐘的門也標起來","0.5706","0.1957","0.0979","0.5518","114.11","0.0333","false","0.9976","0.9748","0.1703","0.5468","0.9976","0.9748"
"walk_door_front_01__t4_49","walk_door_front_01.mp4","door_front","false","2","4.49","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_01/t4_49_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_01/t4_49_frame.jpg","stop","semantic_wall_or_no_floor","uncertain","low","Doorway can be passable or blocked depending on the actual frame.","stop","","0.3991","0","0.1836","0.4958","115.18","0.0112","false","0.2616","0.3299","0.1908","0.2188","0.2616","0.3299"
"walk_door_front_01__t7_49","walk_door_front_01.mp4","door_front","false","3","7.49","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_01/t7_49_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_01/t7_49_frame.jpg","turn_left","semantic_wall_or_no_floor","uncertain","low","Doorway can be passable or blocked depending on the actual frame.","stop","","0.3845","0","0.1336","0.4768","54.54","0.4673","false","0.3634","0.7674","0.1611","0.3025","0.3634","0.7674"
"walk_door_front_01__t10_48","walk_door_front_01.mp4","door_front","false","4","10.48","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_01/t10_48_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_01/t10_48_frame.jpg","front_passable","passable","uncertain","low","Doorway can be passable or blocked depending on the actual frame.","stop","這部分是牆壁","0.0987","0","0.1566","0.324","140.01","0","false","0.251","0.7589","0.3212","0.187","0.3212","0.7589"
"walk_door_front_02__t1_5","walk_door_front_02.mp4","door_front","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_02/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_02/t01_5_frame.jpg","turn_right","semantic_wall_or_no_floor","uncertain","low","Doorway can be passable or blocked depending on the actual frame.","front_passable","但這張圖片顯示有兩條路線可以走，左前跟右前","0.5265","0.2433","0.1399","0.5174","118.49","0.0214","false","0.6189","0.2629","0.438","0.1056","0.6189","0.2629"
"walk_door_front_02__t4_67","walk_door_front_02.mp4","door_front","false","2","4.67","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_02/t4_67_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_02/t4_67_frame.jpg","front_passable","passable","uncertain","low","Doorway can be passable or blocked depending on the actual frame.","front_passable","","0.3054","0.3936","0.1534","0.2847","119.76","0.0155","false","0.5632","0.7382","0.4691","0.2175","0.5632","0.7382"
"walk_door_front_02__t7_84","walk_door_front_02.mp4","door_front","false","3","7.84","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_02/t7_84_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_02/t7_84_frame.jpg","front_passable","passable","uncertain","low","Doorway can be passable or blocked depending on the actual frame.","front_passable","","0.3794","0.4198","0.1669","0.3104","140.8","0.0088","false","0.6697","0.439","0.381","0.2581","0.6697","0.439"
"walk_door_front_02__t11_01","walk_door_front_02.mp4","door_front","false","4","11.01","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_02/t11_01_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_door_front_02/t11_01_frame.jpg","stop","semantic_wall_or_no_floor","uncertain","low","Doorway can be passable or blocked depending on the actual frame.","front_passable","","0.983","0","0.0469","0.9872","146.41","0.0094","false","0.9972","0.9125","0.3952","0.0641","0.9972","0.9125"
"walk_table_chair_obstacle_01__t1_5","walk_table_chair_obstacle_01.mp4","table_chair_obstacle","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_table_chair_obstacle_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_table_chair_obstacle_01/t01_5_frame.jpg","front_passable","passable","uncertain","low","Obstacle scene needs human review for safest side.","front_passable","","0.4199","0.3015","0.2155","0.3967","137.17","0.0084","false","0.9421","0.3803","0.572","0.2082","0.9421","0.3803"
"walk_table_chair_obstacle_01__t4_64","walk_table_chair_obstacle_01.mp4","table_chair_obstacle","false","2","4.64","runs/gopro_dataset_analysis_v2_visibility_gate/walk_table_chair_obstacle_01/t4_64_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_table_chair_obstacle_01/t4_64_frame.jpg","turn_right","semantic_wall_or_no_floor","turn_right","low","Obstacle scene needs human review for safest side.","turn_right","","0.5354","0.104","0.4235","0.5869","137.83","0.0031","false","0.9855","0.2288","0.5639","0.126","0.9855","0.2288"
"walk_table_chair_obstacle_01__t7_77","walk_table_chair_obstacle_01.mp4","table_chair_obstacle","false","3","7.77","runs/gopro_dataset_analysis_v2_visibility_gate/walk_table_chair_obstacle_01/t7_77_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_table_chair_obstacle_01/t7_77_frame.jpg","stop","semantic_wall_or_no_floor","stop","low","Obstacle scene needs human review for safest side.","stop","","0.5727","0.0086","0.2841","0.6747","127.23","0.0037","false","0.9673","0.9544","0.4595","0.2348","0.9673","0.9544"
"walk_table_chair_obstacle_01__t10_91","walk_table_chair_obstacle_01.mp4","table_chair_obstacle","false","4","10.91","runs/gopro_dataset_analysis_v2_visibility_gate/walk_table_chair_obstacle_01/t10_91_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_table_chair_obstacle_01/t10_91_frame.jpg","turn_right","semantic_wall_or_no_floor","turn_right","low","Obstacle scene needs human review for safest side.","turn_right","","0.7213","0.1224","0.3045","0.7179","144.15","0.0008","false","0.9958","0.1804","0.5065","0.1153","0.9958","0.1804"
"walk_low_light_01__t1_5","walk_low_light_01.mp4","low_light","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_low_light_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_low_light_01/t01_5_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_left","low","Low light is visible enough to review manually; do not auto-mark as low_visibility.","front_passable","","0.4605","0.2032","0.1119","0.4761","107.58","0.036","false","0.5348","0.988","0.3415","0.5131","0.5348","0.988"
"walk_low_light_01__t3_5","walk_low_light_01.mp4","low_light","false","2","3.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_low_light_01/t03_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_low_light_01/t03_5_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_left","low","Low light is visible enough to review manually; do not auto-mark as low_visibility.","stop","","0.49","0","0.0942","0.6175","109.78","0.0278","false","0.758","0.9217","0.3717","0.3347","0.758","0.9217"
"walk_low_light_01__t5_51","walk_low_light_01.mp4","low_light","false","3","5.51","runs/gopro_dataset_analysis_v2_visibility_gate/walk_low_light_01/t5_51_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_low_light_01/t5_51_frame.jpg","stop","semantic_wall_or_no_floor","stop","low","Low light is visible enough to review manually; do not auto-mark as low_visibility.","stop","","0.2894","0","0.1302","0.4671","108.54","0.0265","false","0.5754","0.6915","0.3114","0.3737","0.5754","0.6915"
"walk_low_light_01__t7_51","walk_low_light_01.mp4","low_light","false","4","7.51","runs/gopro_dataset_analysis_v2_visibility_gate/walk_low_light_01/t7_51_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_low_light_01/t7_51_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_left","low","Low light is visible enough to review manually; do not auto-mark as low_visibility.","stop","這是玻璃反光","0.5937","0","0.224","0.6606","74.24","0.0537","false","0.5245","0.5783","0.0729","0.6601","0.5245","0.6601"
"walk_no_light_01__t1_5","walk_no_light_01.mp4","no_light","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_no_light_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_no_light_01/t01_5_frame.jpg","stop","low_visibility","low_visibility_stop","high","No-light/low-visibility is unsafe even if segmentation predicts floor.","low_visibility_stop","","1","0","0.0914","1","14.92","0.9936","true","0.9998","1.0","0.5066","0.1042","0.9998","1.0"
"walk_no_light_01__t4_34","walk_no_light_01.mp4","no_light","false","2","4.34","runs/gopro_dataset_analysis_v2_visibility_gate/walk_no_light_01/t4_34_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_no_light_01/t4_34_frame.jpg","stop","low_visibility","low_visibility_stop","high","No-light/low-visibility is unsafe even if segmentation predicts floor.","low_visibility_stop","","1","0","0.27","1","16.9","0.9702","true","1.0","0.9832","0.6104","0.4046","1.0","0.9832"
"walk_no_light_01__t7_17","walk_no_light_01.mp4","no_light","false","3","7.17","runs/gopro_dataset_analysis_v2_visibility_gate/walk_no_light_01/t7_17_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_no_light_01/t7_17_frame.jpg","stop","low_visibility","low_visibility_stop","high","No-light/low-visibility is unsafe even if segmentation predicts floor.","low_visibility_stop","","0.0623","0.9377","0.2837","1","17.93","0.954","true","0.1515","0.0531","0.6391","0.4397","0.6391","0.4397"
"walk_no_light_01__t10_01","walk_no_light_01.mp4","no_light","false","4","10.01","runs/gopro_dataset_analysis_v2_visibility_gate/walk_no_light_01/t10_01_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_no_light_01/t10_01_frame.jpg","stop","low_visibility","low_visibility_stop","high","No-light/low-visibility is unsafe even if segmentation predicts floor.","low_visibility_stop","","0.25","0","0.2146","1","22.4","0.9016","true","0.6398","0.3004","0.547","0.0634","0.6398","0.3004"
"walk_glass_reflection_01__t1_5","walk_glass_reflection_01.mp4","glass_reflection","false","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_glass_reflection_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_glass_reflection_01/t01_5_frame.jpg","turn_left","semantic_wall_or_no_floor","stop","medium","Glass/mirror reflection is unreliable for assistive navigation.","front_passable","紅色區域可能蓋過綠色部分，兩個綠色區塊中間有一塊是可行區域","0.5542","0.114","0.1012","0.5962","119.62","0.0233","false","0.6756","0.9389","0.3809","0.4248","0.6756","0.9389"
"walk_glass_reflection_01__t4_7","walk_glass_reflection_01.mp4","glass_reflection","false","2","4.7","runs/gopro_dataset_analysis_v2_visibility_gate/walk_glass_reflection_01/t04_7_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_glass_reflection_01/t04_7_frame.jpg","stop","semantic_wall_or_no_floor","stop","medium","Glass/mirror reflection is unreliable for assistive navigation.","turn_left","左前方是浴室室內，室內地板也要標註成可行區域，還有右邊的可行區域標錯了，那是櫃子","0.7404","0","0.3491","0.7825","126.97","0.035","false","0.6533","0.7694","0.0877","0.3713","0.6533","0.7694"
"walk_glass_reflection_01__t7_91","walk_glass_reflection_01.mp4","glass_reflection","false","3","7.91","runs/gopro_dataset_analysis_v2_visibility_gate/walk_glass_reflection_01/t7_91_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_glass_reflection_01/t7_91_frame.jpg","stop","semantic_wall_or_no_floor","stop","medium","Glass/mirror reflection is unreliable for assistive navigation.","stop","","0.5279","0","0.3028","0.646","134.08","0.0067","false","0.8029","0.8532","0.12","0.6333","0.8029","0.8532"
"walk_glass_reflection_01__t11_11","walk_glass_reflection_01.mp4","glass_reflection","false","4","11.11","runs/gopro_dataset_analysis_v2_visibility_gate/walk_glass_reflection_01/t11_11_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_glass_reflection_01/t11_11_frame.jpg","stop","depth_close_space","stop","medium","Glass/mirror reflection is unreliable for assistive navigation.","stop","","0.0871","0","0.5065","0.5065","132.8","0.0171","false","0.718","0.5752","0.1699","0.7334","0.718","0.7334"
"walk_right_open_left_wall_synthflip_01__t1_5","walk_right_open_left_wall_synthflip_01.mp4","right_open_left_wall_synthflip","true","1","1.5","runs/gopro_dataset_analysis_v2_visibility_gate/walk_right_open_left_wall_synthflip_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_right_open_left_wall_synthflip_01/t01_5_frame.jpg","stop","semantic_wall_or_no_floor","turn_right","medium","Synthetic horizontal flip of left-open/right-wall; use for left/right logic only.","turn_right","","0.5615","0.1591","0.1791","0.5828","130.58","0.0016","false","0.328","0.7044","0.6785","0.0614","0.6785","0.7044"
"walk_right_open_left_wall_synthflip_01__t5_56","walk_right_open_left_wall_synthflip_01.mp4","right_open_left_wall_synthflip","true","2","5.56","runs/gopro_dataset_analysis_v2_visibility_gate/walk_right_open_left_wall_synthflip_01/t5_56_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_right_open_left_wall_synthflip_01/t5_56_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_right","medium","Synthetic horizontal flip of left-open/right-wall; use for left/right logic only.","stop","整塊都是牆壁","0.6879","0","0.0865","0.7659","149.52","0","false","0.4678","1.0","0.39","0.1031","0.4678","1.0"
"walk_right_open_left_wall_synthflip_01__t9_62","walk_right_open_left_wall_synthflip_01.mp4","right_open_left_wall_synthflip","true","3","9.62","runs/gopro_dataset_analysis_v2_visibility_gate/walk_right_open_left_wall_synthflip_01/t9_62_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_right_open_left_wall_synthflip_01/t9_62_frame.jpg","turn_right","semantic_wall_or_no_floor","turn_right","medium","Synthetic horizontal flip of left-open/right-wall; use for left/right logic only.","front_passable","紅色區塊蓋過綠色區塊了，這邊還有一部份應該要是綠色區域","0.7028","0.0875","0.1814","0.7285","134.31","0.0106","false","1.0","0.3942","0.5836","0.1652","1.0","0.3942"
"walk_right_open_left_wall_synthflip_01__t13_68","walk_right_open_left_wall_synthflip_01.mp4","right_open_left_wall_synthflip","true","4","13.68","runs/gopro_dataset_analysis_v2_visibility_gate/walk_right_open_left_wall_synthflip_01/t13_68_fusion_overlay.jpg","runs/gopro_dataset_analysis_v2_visibility_gate/walk_right_open_left_wall_synthflip_01/t13_68_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_right","medium","Synthetic horizontal flip of left-open/right-wall; use for left/right logic only.","stop","","0.9898","0","0.2225","0.9916","136.27","0","false","0.5633","1.0","0.1668","0.5402","0.5633","1.0"
"left_open_right_wall_01__t1_5","left_open_right_wall_01.mp4","left_open_right_wall","false","1","1.5","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_01/t01_5_fusion_overlay.jpg","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_01/t01_5_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","front_passable","","0.6769","0.2526","0.1008","0.6174","139.08","0.0036","false","0.4796","1.0","0.0731","0.5685","0.4796","1.0"
"left_open_right_wall_01__t4_99","left_open_right_wall_01.mp4","left_open_right_wall","false","2","4.99","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_01/t4_99_fusion_overlay.jpg","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_01/t4_99_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","turn_left","","0.7822","0.1627","0.1022","0.7462","139.27","0.003","false","0.4456","1.0","0.0249","0.5583","0.4456","1.0"
"left_open_right_wall_01__t8_49","left_open_right_wall_01.mp4","left_open_right_wall","false","3","8.49","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_01/t8_49_fusion_overlay.jpg","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_01/t8_49_frame.jpg","turn_left","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","turn_left","","0.6436","0.1366","0.1813","0.6567","120.57","0.006","false","0.2457","0.9846","0.0377","0.7043","0.2457","0.9846"
"left_open_right_wall_01__t11_98","left_open_right_wall_01.mp4","left_open_right_wall","false","4","11.98","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_01/t11_98_fusion_overlay.jpg","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_01/t11_98_frame.jpg","stop","semantic_wall_or_no_floor","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","stop","門怎麼沒有全框","0.3262","0","0.1691","0.452","121.76","0.0016","false","0.8214","0.7564","0.2012","0.3171","0.8214","0.7564"
"left_open_right_wall_02__t1_5","left_open_right_wall_02.mp4","left_open_right_wall","false","1","1.5","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_02/t01_5_fusion_overlay.jpg","runs/gopro_dataset_v2_direction_analysis/left_open_right_wall_02/t01_5_frame.jpg","front_passable","passable","turn_left","medium","Scenario name says left side is the remaining route; review each frame.","front_passable","","0.4192","0.543","0.1955","0.3769","135.36","0.004","false","0.2223","1.0","0.2329","0.5724","0.2329","1.0"
